Senticaudata_Juvenile,1,Senticaudata,,
Siphonophorae,3,Cnidaria,,possibly change back later
Spionidae_Nectochaete,20,Spionidae_Nectochaete,,
Thalestridae,1,Harpacticoida,,
Themisto_pacifica,24,Themisto_pacifica,,
Tigriopus,6,Tigriopus,,
Tisbe,2,Harpacticoida,,
Tomopteris,9,Tomopteris,,
Tomopteris_septentrionalis,8,Tomopteris_septentrionalis,,
Tortanus_discaudatus,19,Tortanus_discaudatus,,
Trematoda_Parasite,19,Parasites,,
Zaus,1,Harpacticoida,,
