old_category,new_category,prey_category,prey_group,prey_group_less,habitat,gelatinous,body_type,functional,three_groups
Eualus_suckleyi_Zoea_I,Caridea_Zoea,Thoridae_Zoea,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,Meroplankton,Crustacean
Eucalanus,Eucalanus,Eucalanus,Calanoids_Large,Calanoids_Large,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Eucalanus_bungii,Eucalanus_bungii,Eucalanus,Calanoids_Large,Calanoids_Large,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Eucalanus_hyalinus,Eucalanus,Eucalanus,Calanoids_Large,Calanoids_Large,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Eukrohnia_hamata,Eukrohnia_hamata,Chaetognatha,Chaetognath,Chaetognath,Pelagic,Gelatinous,NVM,Gelatinous,Gelatinous
Euphausia_pacifica,Euphausia_pacifica,Euphausia_pacifica,Euphausiids,Euphausiids,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Euphausiidae,Euphausiidae,Euphausiidae,Euphausiids,Euphausiids,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Euphausiidae_Calyptopis,Euphausiidae_Calyptopis,Euphausiidae_Calyptopis,Euphausiids,Euphausiids,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Euphausiidae_Furcilia,Euphausiidae_Furcilia,Euphausiidae_Furcilia,Euphausiids,Euphausiids,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Euphausiidae_Juvenile,Euphausiidae,Euphausiidae,Euphausiids,Euphausiids,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Euphausiidae_Nauplii,Euphausiidae_Nauplii,Euphausiidae_Nauplii,Euphausiids,Euphausiids,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
Eurytemora_affinis,Calanoida,Eurytemora_affinis,Calanoids_Small,Calanoids_Small,Pelagic,Non-gelatinous,Crustacean,Pelagic_crust,Crustacean
