ufn_names,site_names,species_names,region_names,Acartia,Acartia_longiremis,Actinopterygii_Larvae,Aetideus_divergens,Amphibalanus_improvisus_Cyprid,Amphipoda,Aoroides_columbiae,Arachnida,Asteroidea_Brachiolaria,Balanomorpha,Balanomorpha_Cyprid,Balanomorpha_Molt,Balanomorpha_Nauplii,Balanus_crenatus_Cyprid,Balanus_glandula_Cyprid,Brachyura_Megalopa,Brachyura_Zoea,Calanoida,Calanoida_Copepodite,Calanus,Calanus_marshallae,Calanus_pacificus,Cancer_antennarius_Zoea,Cancer_gracilis_Zoea,Cancer_productus_Megalopa,Cancer_Zoea,Caprella,Caridea_Zoea,Centropages_abdominalis,Cnidaria,Copepoda,Coscinodiscophycidae,Crustacea,Ctenophora,Culicomorpha,Culicomorpha_Larvae,Cyclopoida,Detritus,Digested_food,Diptera,Diptera_Pupae,Ditrichocorycaeus_anglicus,Ditrichocorycaeus_anglicus_Copepodite,Epilabidocera_amphrites,Eucalanus,Eucalanus_bungii,Eucalanus_hyalinus,Eukrohnia_hamata,Eumalacostraca_Larvae,Euphausia_pacifica,Euphausiidae,Euphausiidae_Calyptopis,Euphausiidae_Furcilia,Euphausiidae_Juvenile,Euphausiidae_Nauplii,Eurytemora_affinis,Evadne_tergestina,Fabia_subquadrata_Zoea_III,Harpacticoida,Harpacticus,Hemigrapsus_Larvae,Hemigrapsus_nudus_Zoea,Hyale,Hyperiidae,Hyperiidae_Juvenile,Hyperoche,Hyperoche_medusarum,Insecta,Isopoda_Juvenile,Kellia_suborbicularis_Veliger,Lophopanopeus_bellus_Zoea,Mesocalanus_tenuicornis,Metridia,Metridia_curticaudata,Microcalanus_pygmaeus_pusillus,Monocorophium,Nannastacidae,Neocalanus_plumchrus,Neotrypaea_californiensis_Zoea,Objects,Oikopleura,Oregonia_gracilis_Zoea_II,Ostracoda,Paguridae_Larvae,Pandalidae_Zoea,Pandalus_jordani_Zoea,Pandalus_Zoea,Paracalanus_parvus,Paraeuchaeta_elongata,Parasites,Pinnotheridae_Megalopa,Pinnotheridae_Zoea,Pleocyemata_Larvae,Pleocyemata_Zoea,Pleuronectidae_Egg,Podon_leuckartii,Podon_polyphemoides,Podonidae,Polychaeta_Nectochaete,Porcellanidae_Zoea,Pseudocalanus,Pteropoda,Pteropoda_Veliger,Sagittoidea,Sarsamphiascus,Senticaudata,Siphonophorae,Spionidae_Nectochaete,Themisto_pacifica,Thysanoessa,Thysanoessa_inermis,Thysanoessa_raschii,Thysanoessa_spinifera,Tisbe,Tomopteris,Tortanus_discaudatus,Triconia_conifera,Total
U3763,D09,Pink,QUADRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564103,0,0,0,5.641025641,0,0,2.871794872,1.025641026,0,0,0,0,0.102564103,0,0,0,0,0,0,0,0,0,0,0,0,0,57.64102564,0.102564103,0,0,0,0,0,0,0,0,0,0,1.128205128,0,0,0,0,0,0,0.102564103,0,0,1.025641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102564103,0,0,0,0.307692308,0.512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U3764,D09,Pink,QUADRA,0,0,0,0,0,0,0,0,0,0,0,8.67768595,0,0,0,0,0,62.80991736,0,0,0,2.892561983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98347107,0,0,0,0,0,0,0,0,0,0,0,2.066115702,0,2.479338843,0,0,0,0,0,1.239669421,0,0,0,0,2.066115702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41322314,0,0,0,0,0,0,0,0,0,0,0,0,0,4.958677686,0,0,0,0,0,0,0,0.41322314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U3765,D09,Pink,QUADRA,0,0,0,0,0,0,0.628930818,0,0,0,0,0,0,0,0.628930818,0,0,17.61006289,0,9.433962264,9.433962264,0,0,0,0,0,0,0,0,0,0,0.628930818,0,0,0,0,0,0,0,0,0,0.628930818,0,0,0,0,0,0,0,0,0,0,0.628930818,0,0,0,0,0,0,0.628930818,0,0,0,0,0,0,0,5.660377358,0.628930818,0,0,0,0,0,0.628930818,0,0,0,0,0,50.94339623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628930818,0,0.628930818,0,0,0,0,0.628930818,0,0,0,0,0,0,0,0,0,100
U3766,D09,Pink,QUADRA,0,0,0,0,0,0,0,0,0,3.720930233,0,0,0,0,0.465116279,0,0.465116279,6.511627907,0,19.53488372,0,3.255813953,0,0,0,0,0,0,0.465116279,0,0,0,0,0,0,0,0,0,1.860465116,0,35.81395349,0,0,0,0,0,0,0,0,0,0,0.465116279,2.325581395,0,0,0,0.465116279,0,0,2.325581395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.860465116,19.53488372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465116279,0,0.465116279,0,0,0,0,0,0,0,0,0,100
U3767,D09,Pink,QUADRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.517241379,0,0,6.896551724,2.75862069,0,6.206896552,11.03448276,0,0,0,0,0,0,0,0,0,0,0,0,17.93103448,0,0,0,19.31034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689655172,16.55172414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.206896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689655172,0,0,0,3.448275862,2.75862069,0,0,0,0,0,0,0,0,0,100
U3768,D09,Pink,QUADRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334448161,0,1.672240803,21.40468227,0,0,0,0,0,0,0,0,0,0,2.006688963,0,0,0,0,0,0,0,0,0,9.698996656,0,0,0.334448161,0,0,0,0,0,0,0,0,0,0,0.334448161,0,0,0,0,0,9.364548495,46.82274247,0,0,0,1.003344482,0,0,0,1.003344482,0.334448161,0,0,0,0,0,0.334448161,0,0,0,0,0,1.003344482,1.337792642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.010033445,0,0,0,0,0,0,0,0,0,0,0,100
U3769,D09,Pink,QUADRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526315789,0,0,22.63157895,0,0,0,3.684210526,0,0,0,0,15.26315789,0,0.526315789,0,0,0.526315789,0,0,0,0,0,0,0,0,0,6.315789474,0,0,0,0,0,0,0,0,0,0.526315789,3.157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.368421053,0,0,0,0,39.47368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U3770,D09,Pink,QUADRA,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,27.5,0,0,0,2,0,0,0,0,10,0,0.5,0,0,0,0,0,0,0,0,0,11.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1.5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.5,10.5,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,100
U3771,D09,Pink,QUADRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.408450704,0,0,6.338028169,0,0,2.816901408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352112676,11.97183099,0,0,0.352112676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.985915493,59.50704225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352112676,0,0,10.91549296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U3834,J02,Pink,JOHNSTONE STRAIT,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,3.744,0,0,54.448,6.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0.144,0.256,0,0.672,0,4.512,22.72,0.016,1.248,0,0,0.016,0,0,0,0,0,0,0,0,0,0.32,0.384,0,0,0,0,0.32,0.08,0,0.016,0,0,0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,100
